nfl_id,player_name,position,plays,total_shadow,contests,shadow_won,shadow_lost,shadow_over_expected,win_rate
38540,Stephon Gilmore,CB,372,60.054431230372764,72.0,24.472540296219922,34.23996101201435,10.03354131334002,0.4168199233710337
43373,Kendall Fuller,CB,402,42.57245422872484,54.0,22.056062262202605,19.866789072195587,9.533852749399596,0.5261107381812398
46698,Levi Wallace,CB,314,57.847834630379126,61.0,29.610165834627487,27.038679519188683,8.81230613088269,0.5226967231139299
53505,Paulson Adebo,CB,379,46.03447156477568,75.0,25.124939320754407,18.145053381960867,8.50448426391085,0.5806550394721415
44878,Ahkello Witherspoon,CB,443,86.15222794707341,85.0,38.54169498705757,43.24218012612655,8.403857401620266,0.47126276339581746
53455,Greg Newsome II,CB,282,42.71677180028936,55.0,25.84309779625613,16.873674004033226,7.758152246745875,0.6049871445594837
55869,Devon Witherspoon,CB,333,58.49292046837006,66.0,22.313016637710703,35.174534520143744,7.3109550868058895,0.38813649543779716
54622,Zyon McCollum,CB,337,75.57150498800682,72.0,36.70166214366807,38.869842844338756,7.289303586224519,0.4856547735749422
54679,Ja'Sir Taylor,CB,250,36.127686060011,41.0,19.51204122006641,15.187952044020596,7.229577426116563,0.5623067725566544
46456,Darious Williams,CB,465,63.422060730863144,77.0,26.328588471553946,33.225971236119214,7.212315917430648,0.4420919002808395
52547,Amik Robertson,CB,245,40.79069282097227,49.0,18.14506100705451,21.126153414097548,7.086140157751255,0.4620448151275228
52607,Jordan Fuller,FS,444,26.281089738797977,41.0,14.602555227367896,11.33967556113547,6.348577078171814,0.5628874149804883
54479,Kyle Hamilton,SS,371,29.094203925011794,38.0,16.017165467306192,12.283838226468554,6.319477359345626,0.5659575059816491
46073,Denzel Ward,CB,223,47.74393400958368,49.0,24.5913169777866,22.705178206572686,6.070142423691047,0.5199395194491879
43700,Jonathan Jones,CB,275,36.58805885449566,44.0,20.342702472605566,16.245356381890087,6.034074799967524,0.5559929416727177
42393,Ronald Darby,CB,189,42.80263824306667,43.0,21.9432869869385,20.85935125612817,5.935515747617518,0.5126620200915526
39984,Darius Slay,CB,387,59.30069457598772,71.0,26.935508951534903,32.36518562445281,5.778223726937791,0.4542191140277426
52546,L'Jarius Sneed,CB,339,56.861358084498555,63.0,27.1237254556399,29.459768007998093,5.40319625603518,0.4793575616371284
55888,Deonte Banks,CB,333,87.94481291614305,83.0,44.61711236360391,41.01994651548605,5.391802101126914,0.5210023901754769
54600,Joshua Williams,CB,134,23.741654108677757,23.0,14.392472986969773,9.349181121707984,4.947859188772526,0.6062118890742837
54500,Roger McCreary,CB,342,46.90610762187982,61.0,18.355592910974035,28.550514710905784,4.915714372580582,0.3913262865241858
46080,Minkah Fitzpatrick,FS,192,10.713282242900661,23.0,6.952141503286011,3.745008336041187,4.877045317219535,0.6499059663282485
54677,Derion Kendrick,CB,377,44.63644638490382,54.0,15.075508786741416,26.960684911527856,4.848804614308868,0.3586316328959658
56086,Jaylon Jones,CB,308,41.91842694249631,54.0,19.948564079014186,21.807971857640393,4.8173638651664445,0.47773512892153025
46211,D.J. Reed,CB,329,72.70623087465236,70.0,28.695282029790963,40.97404623280383,4.813562022174703,0.4118782647312728
38559,Harrison Smith,FS,379,22.63768641799603,37.0,8.65501233981373,13.9826740781823,4.748843870355364,0.382327600974866
53604,Jason Pinnock,FS,379,10.496478218352415,15.0,8.506299006886293,1.990179211466122,4.522063834736141,0.810395527903214
